milliseconds (ms),frame_start,frame_end,bpm
11,0,0,60.1506
27,0,0,60.1506
43,1,0,60.1506
59,1,1,60.1506
75,2,1,60.1506
91,2,2,60.1506
107,3,2,60.1506
123,3,2,60.1506
139,3,3,60.1506
155,4,3,60.1506
171,4,4,60.1506
187,5,4,60.1506
203,5,5,60.1506
219,6,5,60.1506
235,6,6,60.1506
251,7,6,60.1506
267,7,7,60.1506
283,8,7,60.1506
299,8,8,60.1506
315,9,8,60.1506
331,9,8,60.1506
347,9,9,60.1506
363,10,9,60.1506
379,10,10,60.1506
395,11,10,60.1506
411,11,11,60.1506
427,12,11,60.1506
443,12,12,60.1506
459,13,12,60.1506
475,13,13,60.1506
491,14,13,60.1506
507,14,13,60.1506
523,14,14,60.1506
539,15,14,60.1506
555,15,15,60.1506
571,16,15,60.1506
587,16,16,60.1506
603,17,16,60.1506
619,17,17,60.1506
635,18,17,60.1506
651,18,18,60.1506
667,19,18,60.1506
683,19,19,60.1506
699,20,19,60.1506
715,20,19,60.1506
731,20,20,60.1506
747,21,20,60.1506
763,21,21,60.1506
779,22,21,60.1506
795,22,22,60.1506
811,23,22,60.1506
827,23,23,60.1506
843,24,23,60.1506
859,24,24,60.1506
875,25,24,60.1506
891,25,25,60.1506
907,26,25,60.1506
923,26,25,60.1506
939,26,26,60.1506
955,27,26,60.1506
971,27,27,60.1506
987,28,27,60.1506
1003,28,28,60.1506
1019,29,28,60.1506
1035,29,29,60.1506
1051,30,29,60.1506
1067,30,30,60.1506
1083,31,30,60.1506
1099,31,30,60.1506
1115,31,31,60.1506
1131,32,31,60.1506
1147,32,32,60.1506
1163,33,32,60.1506
1179,33,33,60.1506
1195,34,33,60.1506
1211,34,34,60.1506
1227,35,34,60.1506
1243,35,35,60.1506
1259,36,35,60.1506
1275,36,36,60.1506
1291,37,36,60.1506
1307,37,36,60.1506
1323,37,37,60.1506
1339,38,37,60.1506
1355,38,38,60.1506
1371,39,38,60.1506
1387,39,39,60.1506
1403,40,39,60.1506
1419,40,40,60.1506
1435,41,40,60.1506
1451,41,41,60.1506
1467,42,41,60.1506
1483,42,41,60.1506
1499,42,42,60.1506
1515,43,42,60.1506
1531,43,43,60.1506
1547,44,43,60.1506
1563,44,44,60.1506
1579,45,44,60.1506
1595,45,45,60.1506
1611,46,45,60.1506
1627,46,46,60.1506
1643,47,46,60.1506
1659,47,47,60.1506
1675,48,47,60.1506
1691,48,47,60.1506
1707,48,48,60.1506
1723,49,48,60.1506
1739,49,49,60.1506
1755,50,49,60.1506
1771,50,50,60.1506
1787,51,50,60.1506
1803,51,51,60.1506
1819,52,51,60.1506
1835,52,52,60.1506
1851,53,52,60.1506
1867,53,52,60.1506
1883,53,53,60.1506
1899,54,53,60.1506
1915,54,54,60.1506
1931,55,54,60.1506
1947,55,55,60.1506
1963,56,55,60.1506
1979,56,56,60.1506
1995,57,56,60.1506
2011,57,57,60.1506
2027,58,57,60.1506
2043,58,58,60.1506
2059,59,58,60.1506
2075,59,58,60.1506
2091,59,59,60.1506
2107,60,59,60.1506
2123,60,60,60.1506
2139,61,60,60.1506
2155,61,61,60.1506
2171,62,61,60.1506
2187,62,62,60.1506
2203,63,62,60.1506
2219,63,63,60.1506
2235,64,63,60.1506
2251,64,63,60.1506
2267,64,64,60.1506
2283,65,64,60.1506
2299,65,65,60.1506
2315,66,65,60.1506
2331,66,66,60.1506
2347,67,66,60.1506
2363,67,67,60.1506
2379,68,67,60.1506
2395,68,68,60.1506
2411,69,68,60.1506
2427,69,69,60.1506
2443,70,69,60.1506
2459,70,69,60.1506
2475,70,70,60.1506
2491,71,70,60.1506
2507,71,71,60.1506
2523,72,71,60.1506
2539,72,72,60.1506
2555,73,72,60.1506
2571,73,73,60.1506
2587,74,73,60.1506
2603,74,74,60.1506
2619,75,74,60.1506
2635,75,75,60.1506
2651,76,75,60.1506
2667,76,75,60.1506
2683,76,76,60.1506
2699,77,76,60.1506
2715,77,77,60.1506
2731,78,77,60.1506
2747,78,78,60.1506
2763,79,78,60.1506
2779,79,79,60.1506
2795,80,79,60.1506
2811,80,80,60.1506
2827,81,80,60.1506
2843,81,80,60.1506
2859,81,81,60.1506
2875,82,81,60.1506
2891,82,82,60.1506
2907,83,82,60.1506
2923,83,83,60.1506
2939,84,83,60.1506
2955,84,84,60.1506
2971,85,84,60.1506
2987,85,85,60.1506
3003,86,85,60.1506
3019,86,86,60.1506
3035,87,86,60.1506
3051,87,86,60.1506
3067,87,87,60.1506
3083,88,87,60.1506
3099,88,88,60.1506
3115,89,88,60.1506
3131,89,89,60.1506
3147,90,89,60.1506
3163,90,90,60.1506
3179,91,90,60.1506
3195,91,91,60.1506
3211,92,91,60.1506
3227,92,91,60.1506
3243,92,92,60.1506
3259,93,92,60.1506
3275,93,93,60.1506
3291,94,93,60.1506
3307,94,94,60.1506
3323,95,94,60.1506
3339,95,95,60.1506
3355,96,95,60.1506
3371,96,96,60.1506
3387,97,96,60.1506
3403,97,97,60.1506
3419,98,97,60.1506
3435,98,97,60.1506
3451,98,98,60.1506
3467,99,98,96.24095999999999
3483,99,99,96.24095999999999
3499,100,99,72.18072
3515,100,100,72.18072
3531,101,100,72.18072
3547,101,101,72.18072
3563,102,101,72.18072
3579,102,102,72.18072
3595,103,102,72.18072
3611,103,102,72.18072
3627,103,103,72.18072
3643,104,103,72.18072
3659,104,104,72.18072
3675,105,104,72.18072
3691,105,105,72.18072
3707,106,105,48.12047999999999
3723,106,106,48.12047999999999
3739,107,106,48.12047999999999
3755,107,107,48.12047999999999
3771,108,107,48.12047999999999
3787,108,108,48.12047999999999
3803,109,108,48.12047999999999
3819,109,108,48.12047999999999
3835,109,109,48.12047999999999
3851,110,109,48.12047999999999
3867,110,110,48.12047999999999
3883,111,110,48.12047999999999
3899,111,111,48.12047999999999
3915,112,111,48.12047999999999
3931,112,112,48.12047999999999
3947,113,112,48.12047999999999
3963,113,113,48.12047999999999
3979,114,113,48.12047999999999
3995,114,114,48.12047999999999
4011,115,114,48.12047999999999
4027,115,114,48.12047999999999
4043,115,115,48.12047999999999
4059,116,115,48.12047999999999
4075,116,116,48.12047999999999
4091,117,116,48.12047999999999
4107,117,117,48.12047999999999
4123,118,117,48.12047999999999
4139,118,118,48.12047999999999
4155,119,118,48.12047999999999
4171,119,119,48.12047999999999
4187,120,119,48.12047999999999
4203,120,119,48.12047999999999
4219,120,120,48.12047999999999
4235,121,120,48.12047999999999
4251,121,121,48.12047999999999
4267,122,121,72.18072
4283,122,122,72.18072
4299,123,122,72.18072
4315,123,123,72.18072
4331,124,123,72.18072
4347,124,124,72.18072
4363,125,124,72.18072
4379,125,125,72.18072
4395,126,125,72.18072
4411,126,125,72.18072
4427,126,126,72.18072
4443,127,126,72.18072
4459,127,127,72.18072
4475,128,127,72.18072
4491,128,128,72.18072
4507,129,128,72.18072
4523,129,129,72.18072
4539,130,129,72.18072
4555,130,130,72.18072
4571,131,130,72.18072
4587,131,130,72.18072
4603,131,131,72.18072
4619,132,131,72.18072
4635,132,132,72.18072
4651,133,132,72.18072
4667,133,133,72.18072
4683,134,133,72.18072
4699,134,134,72.18072
4715,135,134,72.18072
4731,135,135,72.18072
4747,136,135,72.18072
4763,136,136,72.18072
4779,137,136,72.18072
4795,137,136,72.18072
4811,137,137,72.18072
4827,138,137,72.18072
4843,138,138,72.18072
4859,139,138,72.18072
4875,139,139,72.18072
4891,140,139,72.18072
4907,140,140,72.18072
4923,141,140,72.18072
